id,gender,age,Mask,Class,img
004222,1,1,n,16,input/data/train/images/004222_female_Asian_55/normal.jpg
004222,1,1,i,10,input/data/train/images/004222_female_Asian_55/incorrect_mask.jpg
004222,1,1,m,4,input/data/train/images/004222_female_Asian_55/mask2.jpg
004222,1,1,m,4,input/data/train/images/004222_female_Asian_55/mask4.jpg
004222,1,1,m,4,input/data/train/images/004222_female_Asian_55/mask1.jpg
004222,1,1,m,4,input/data/train/images/004222_female_Asian_55/mask5.jpg
004222,1,1,m,4,input/data/train/images/004222_female_Asian_55/mask3.jpg
003531,0,1,n,13,input/data/train/images/003531_male_Asian_55/normal.jpg
003531,0,1,i,7,input/data/train/images/003531_male_Asian_55/incorrect_mask.jpg
003531,0,1,m,1,input/data/train/images/003531_male_Asian_55/mask2.jpg
003531,0,1,m,1,input/data/train/images/003531_male_Asian_55/mask4.jpg
003531,0,1,m,1,input/data/train/images/003531_male_Asian_55/mask1.jpg
003531,0,1,m,1,input/data/train/images/003531_male_Asian_55/mask5.jpg
003531,0,1,m,1,input/data/train/images/003531_male_Asian_55/mask3.jpg
001259,0,0,n,12,input/data/train/images/001259_male_Asian_24/normal.jpg
001259,0,0,i,6,input/data/train/images/001259_male_Asian_24/incorrect_mask.jpg
001259,0,0,m,0,input/data/train/images/001259_male_Asian_24/mask2.jpg
001259,0,0,m,0,input/data/train/images/001259_male_Asian_24/mask4.jpg
001259,0,0,m,0,input/data/train/images/001259_male_Asian_24/mask1.jpg
001259,0,0,m,0,input/data/train/images/001259_male_Asian_24/mask5.jpg
001259,0,0,m,0,input/data/train/images/001259_male_Asian_24/mask3.jpg
005517,1,1,n,16,input/data/train/images/005517_female_Asian_56/normal.jpg
005517,1,1,i,10,input/data/train/images/005517_female_Asian_56/incorrect_mask.jpg
005517,1,1,m,4,input/data/train/images/005517_female_Asian_56/mask2.jpg
005517,1,1,m,4,input/data/train/images/005517_female_Asian_56/mask4.jpg
005517,1,1,m,4,input/data/train/images/005517_female_Asian_56/mask1.jpg
005517,1,1,m,4,input/data/train/images/005517_female_Asian_56/mask5.jpg
005517,1,1,m,4,input/data/train/images/005517_female_Asian_56/mask3.jpg
001068,1,0,n,15,input/data/train/images/001068_female_Asian_25/normal.jpg
001068,1,0,i,9,input/data/train/images/001068_female_Asian_25/incorrect_mask.jpg
001068,1,0,m,3,input/data/train/images/001068_female_Asian_25/mask2.jpg
001068,1,0,m,3,input/data/train/images/001068_female_Asian_25/mask4.jpg
001068,1,0,m,3,input/data/train/images/001068_female_Asian_25/mask1.jpg
001068,1,0,m,3,input/data/train/images/001068_female_Asian_25/mask5.jpg
001068,1,0,m,3,input/data/train/images/001068_female_Asian_25/mask3.jpg
001024,0,1,n,13,input/data/train/images/001024_male_Asian_58/normal.jpg
001024,0,1,i,7,input/data/train/images/001024_male_Asian_58/incorrect_mask.jpg
001024,0,1,m,1,input/data/train/images/001024_male_Asian_58/mask2.jpg
001024,0,1,m,1,input/data/train/images/001024_male_Asian_58/mask4.jpg
001024,0,1,m,1,input/data/train/images/001024_male_Asian_58/mask1.jpg
001024,0,1,m,1,input/data/train/images/001024_male_Asian_58/mask5.jpg
001024,0,1,m,1,input/data/train/images/001024_male_Asian_58/mask3.jpg
001543,1,2,n,17,input/data/train/images/001543_female_Asian_60/normal.jpg
001543,1,2,i,11,input/data/train/images/001543_female_Asian_60/incorrect_mask.jpg
001543,1,2,m,5,input/data/train/images/001543_female_Asian_60/mask2.jpg
001543,1,2,m,5,input/data/train/images/001543_female_Asian_60/mask4.jpg
001543,1,2,m,5,input/data/train/images/001543_female_Asian_60/mask1.jpg
001543,1,2,m,5,input/data/train/images/001543_female_Asian_60/mask5.jpg
001543,1,2,m,5,input/data/train/images/001543_female_Asian_60/mask3.jpg
004367,0,1,n,13,input/data/train/images/004367_male_Asian_52/normal.jpg
004367,0,1,i,7,input/data/train/images/004367_male_Asian_52/incorrect_mask.jpg
004367,0,1,m,1,input/data/train/images/004367_male_Asian_52/mask2.jpg
004367,0,1,m,1,input/data/train/images/004367_male_Asian_52/mask4.jpg
004367,0,1,m,1,input/data/train/images/004367_male_Asian_52/mask1.jpg
004367,0,1,m,1,input/data/train/images/004367_male_Asian_52/mask5.jpg
004367,0,1,m,1,input/data/train/images/004367_male_Asian_52/mask3.jpg
001065,0,0,n,12,input/data/train/images/001065_male_Asian_26/normal.jpg
001065,0,0,i,6,input/data/train/images/001065_male_Asian_26/incorrect_mask.jpg
001065,0,0,m,0,input/data/train/images/001065_male_Asian_26/mask2.jpg
001065,0,0,m,0,input/data/train/images/001065_male_Asian_26/mask4.jpg
001065,0,0,m,0,input/data/train/images/001065_male_Asian_26/mask1.jpg
001065,0,0,m,0,input/data/train/images/001065_male_Asian_26/mask5.jpg
001065,0,0,m,0,input/data/train/images/001065_male_Asian_26/mask3.jpg
001330,1,0,n,15,input/data/train/images/001330_female_Asian_28/normal.jpg
001330,1,0,i,9,input/data/train/images/001330_female_Asian_28/incorrect_mask.jpg
001330,1,0,m,3,input/data/train/images/001330_female_Asian_28/mask2.jpg
001330,1,0,m,3,input/data/train/images/001330_female_Asian_28/mask4.jpg
001330,1,0,m,3,input/data/train/images/001330_female_Asian_28/mask1.jpg
001330,1,0,m,3,input/data/train/images/001330_female_Asian_28/mask5.jpg
001330,1,0,m,3,input/data/train/images/001330_female_Asian_28/mask3.jpg
001645-1,1,0,n,15,input/data/train/images/001645-1_female_Asian_26/normal.jpg
001645-1,1,0,i,9,input/data/train/images/001645-1_female_Asian_26/incorrect_mask.jpg
001645-1,1,0,m,3,input/data/train/images/001645-1_female_Asian_26/mask2.jpg
001645-1,1,0,m,3,input/data/train/images/001645-1_female_Asian_26/mask4.jpg
001645-1,1,0,m,3,input/data/train/images/001645-1_female_Asian_26/mask1.jpg
001645-1,1,0,m,3,input/data/train/images/001645-1_female_Asian_26/mask5.jpg
001645-1,1,0,m,3,input/data/train/images/001645-1_female_Asian_26/mask3.jpg
003004,1,0,n,15,input/data/train/images/003004_female_Asian_19/normal.jpg
003004,1,0,i,9,input/data/train/images/003004_female_Asian_19/incorrect_mask.jpg
003004,1,0,m,3,input/data/train/images/003004_female_Asian_19/mask2.jpg
003004,1,0,m,3,input/data/train/images/003004_female_Asian_19/mask4.jpg
003004,1,0,m,3,input/data/train/images/003004_female_Asian_19/mask1.jpg
003004,1,0,m,3,input/data/train/images/003004_female_Asian_19/mask5.jpg
003004,1,0,m,3,input/data/train/images/003004_female_Asian_19/mask3.jpg
000344,1,1,n,16,input/data/train/images/000344_female_Asian_57/normal.jpg
000344,1,1,i,10,input/data/train/images/000344_female_Asian_57/incorrect_mask.jpg
000344,1,1,m,4,input/data/train/images/000344_female_Asian_57/mask2.jpg
000344,1,1,m,4,input/data/train/images/000344_female_Asian_57/mask4.jpg
000344,1,1,m,4,input/data/train/images/000344_female_Asian_57/mask1.jpg
000344,1,1,m,4,input/data/train/images/000344_female_Asian_57/mask5.jpg
000344,1,1,m,4,input/data/train/images/000344_female_Asian_57/mask3.jpg
006099,0,0,n,12,input/data/train/images/006099_male_Asian_19/normal.jpg
006099,0,0,i,6,input/data/train/images/006099_male_Asian_19/incorrect_mask.jpg
006099,0,0,m,0,input/data/train/images/006099_male_Asian_19/mask2.jpg
006099,0,0,m,0,input/data/train/images/006099_male_Asian_19/mask4.jpg
006099,0,0,m,0,input/data/train/images/006099_male_Asian_19/mask1.jpg
006099,0,0,m,0,input/data/train/images/006099_male_Asian_19/mask5.jpg
006099,0,0,m,0,input/data/train/images/006099_male_Asian_19/mask3.jpg
003330,1,0,n,15,input/data/train/images/003330_female_Asian_19/normal.jpg
003330,1,0,i,9,input/data/train/images/003330_female_Asian_19/incorrect_mask.jpg
003330,1,0,m,3,input/data/train/images/003330_female_Asian_19/mask2.jpg
003330,1,0,m,3,input/data/train/images/003330_female_Asian_19/mask4.jpg
003330,1,0,m,3,input/data/train/images/003330_female_Asian_19/mask1.jpg
003330,1,0,m,3,input/data/train/images/003330_female_Asian_19/mask5.jpg
003330,1,0,m,3,input/data/train/images/003330_female_Asian_19/mask3.jpg
004201,1,0,n,15,input/data/train/images/004201_female_Asian_18/normal.jpg
004201,1,0,i,9,input/data/train/images/004201_female_Asian_18/incorrect_mask.jpg
004201,1,0,m,3,input/data/train/images/004201_female_Asian_18/mask2.jpg
004201,1,0,m,3,input/data/train/images/004201_female_Asian_18/mask4.jpg
